,,,,,,,,2025-03-31T08:00:00+08:00,Cut-off date

,DATE,Mon Apr 20 2026 08:00:00 GMT+0800 (Philippine Standard Time),Mon Apr 20 2026 08:00:00 GMT+0800 (Philippine Standard Time),Mon Apr 20 2026 08:00:00 GMT+0800 (Philippine Standard Time)
,CLIENT CODE,CC000029
,CLIENT NAME,DISCOVER THE WORLD MARKETING INC.



,STATEMENT OF ACCOUNT,STATEMENT OF ACCOUNT,STATEMENT OF ACCOUNT,STATEMENT OF ACCOUNT,STATEMENT OF ACCOUNT,STATEMENT OF ACCOUNT,STATEMENT OF ACCOUNT
,,,,Mon Apr 20 2026 08:00:00 GMT+0800 (Philippine Standard Time),,,,Mon Mar 31 2025 08:00:00 GMT+0800 (Philippine Standard Time),Mon Mar 31 2025 08:00:00 GMT+0800 (Philippine Standard Time)
,Invoice Date,Invoice Number,Due Date,Period covered,Particulars,Amount,REMARKS,Invoice Days Age,Past Due Days
,2021-11-24T08:00:00+08:00,BI#000212528,2021-12-24T08:00:00+08:00,10/13/2021 - 11/12/2021,BH-283 / A1UF041111519,13,90+ DAYS AGE,1223,1193,30
,2023-09-13T08:00:00+08:00,BI#000302039,2023-10-13T08:00:00+08:00,08/11/2023 - 09/06/2023,BH-283 / A1UF041111519,3813.1,90+ DAYS AGE,565,535,30
,2024-07-18T08:00:00+08:00,SVR-INV#000000480,2024-08-17T08:00:00+08:00,06/11/2024 - 07/08/2024,BH-283 / A1UF041111519,3745.01,90+ DAYS AGE,256,226,30
,2024-08-15T08:00:00+08:00,SVR-INV#000004586,2024-09-14T08:00:00+08:00,07/09/2024 - 08/07/2024,BH-283 / A1UF041111519,3642.87,90+ DAYS AGE,228,198,30
,2024-09-16T08:00:00+08:00,SVR-INV#000008692,2024-10-16T08:00:00+08:00,08/08/2024 - 09/10/2024,BH-283 / A1UF041111519,3642.87,90+ DAYS AGE,196,166,30
,2024-10-11T08:00:00+08:00,SVR-INV#000012327,2024-11-10T08:00:00+08:00,09/11/2024 - 10/09/2024,BH-283 / A1UF041111519,3642.87,90+ DAYS AGE,171,141,30
,2024-11-14T08:00:00+08:00,SVR-INV#000016837,2024-12-14T08:00:00+08:00,10/10/2024 - 11/11/2024,BH-283 / A1UF041111519,3642.87,90+ DAYS AGE,137,107,30
,2024-12-13T08:00:00+08:00,SVR-INV#000020910,2025-01-12T08:00:00+08:00,11/12/2024 - 12/11/2024,BH-283 / A1UF041111519,3642.87,90+ DAYS AGE,108,78,30
,2025-01-14T08:00:00+08:00,SVR-INV#000024998,2025-02-13T08:00:00+08:00,12/12/2024 - 01/08/2025,BH-283 / A1UF041111519,3642.87,PAST DUE,76,46,30
,2025-02-14T08:00:00+08:00,SVR-INV#000029085,2025-03-16T08:00:00+08:00,01/09/2025 - 02/07/2025,BH-283 / A1UF041111519,3813.1,PAST DUE,45,15,30
,2025-03-14T08:00:00+08:00,SVR-INV#000033203,2025-04-13T08:00:00+08:00,02/08/2025 - 03/10/2025,BH-283 / A1UF041111519,3813.1,CURRENT,17,-13,30
,TOTAL,,,,,37054.52999999999
,90+ DAYS AGE,   *Please pay within 7 days*,,,,25785.459999999995
,PAST DUE,   *Please pay within 15 days*,,,,7455.969999999999
,TOTAL PAST DUE,,,,,33241.42999999999

,Less: Unapplied payments (3)
,OR Date,OR number,Date received,Details,,Amount




,Total AR outstanding,,,,,37054.52999999999

,Installment receivables
,Invoice Date,Invoice Number,Due Date,,,Amount




,Total Installment receivables not yet due,,,,,

,IMPORTANT ADVISORY,(1) Please pay within 7 days all invoices that are aged 90+ days for HOLD status to be lifted,(1) Please pay within 7 days all invoices that are aged 90+ days for HOLD status to be lifted,(1) Please pay within 7 days all invoices that are aged 90+ days for HOLD status to be lifted,(1) Please pay within 7 days all invoices that are aged 90+ days for HOLD status to be lifted,(1) Please pay within 7 days all invoices that are aged 90+ days for HOLD status to be lifted
,IMPORTANT ADVISORY,(2) Please pay within 15 days all Past Due invoices,(2) Please pay within 15 days all Past Due invoices,(2) Please pay within 15 days all Past Due invoices,(2) Please pay within 15 days all Past Due invoices,(2) Please pay within 15 days all Past Due invoices
,IMPORTANT ADVISORY,"(3) Unapplied payments are amounts received that are not applied to invoices due to lack of payment details.  For correct matching, always provide invoice details of your payments.  For correct indetification of your online payment or direct deposit, always indicate your Company name together with the details of your payment","(3) Unapplied payments are amounts received that are not applied to invoices due to lack of payment details.  For correct matching, always provide invoice details of your payments.  For correct indetification of your online payment or direct deposit, always indicate your Company name together with the details of your payment","(3) Unapplied payments are amounts received that are not applied to invoices due to lack of payment details.  For correct matching, always provide invoice details of your payments.  For correct indetification of your online payment or direct deposit, always indicate your Company name together with the details of your payment","(3) Unapplied payments are amounts received that are not applied to invoices due to lack of payment details.  For correct matching, always provide invoice details of your payments.  For correct indetification of your online payment or direct deposit, always indicate your Company name together with the details of your payment","(3) Unapplied payments are amounts received that are not applied to invoices due to lack of payment details.  For correct matching, always provide invoice details of your payments.  For correct indetification of your online payment or direct deposit, always indicate your Company name together with the details of your payment"
,IMPORTANT ADVISORY,(4) Transactions posted after cut-off date of this statement will be shown in the next statement.   ,(4) Transactions posted after cut-off date of this statement will be shown in the next statement.   ,(4) Transactions posted after cut-off date of this statement will be shown in the next statement.   ,(4) Transactions posted after cut-off date of this statement will be shown in the next statement.   ,(4) Transactions posted after cut-off date of this statement will be shown in the next statement.   
,IMPORTANT ADVISORY,"(5)  Inform immediately our Credit and Collection Department for any discrepancy noted, call (02) 8846- 5076 to 77 or email us at cnc@ubix.com.ph. ","(5)  Inform immediately our Credit and Collection Department for any discrepancy noted, call (02) 8846- 5076 to 77 or email us at cnc@ubix.com.ph. ","(5)  Inform immediately our Credit and Collection Department for any discrepancy noted, call (02) 8846- 5076 to 77 or email us at cnc@ubix.com.ph. ","(5)  Inform immediately our Credit and Collection Department for any discrepancy noted, call (02) 8846- 5076 to 77 or email us at cnc@ubix.com.ph. ","(5)  Inform immediately our Credit and Collection Department for any discrepancy noted, call (02) 8846- 5076 to 77 or email us at cnc@ubix.com.ph. "
